time/fps,train/reward,time/iterations,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/learning_rate,train/n_updates
593,1.5670992,11,5632,9,-0.027691027929540722,1.0002946853637695,0.2,3.0395054817199707,0.012021104,-12.775538384914398,0.0009309649467468262,5.056517487764358,0.116796875,0.0003,100
600,0.042424545,12,6144,10,-0.025978233851492404,1.0009102821350098,0.2,4.685225486755371,0.011346656,-12.775331342220307,-0.002410411834716797,13.568241572380066,0.133984375,0.0003,110
606,-0.085408814,13,6656,10,-0.017932993057183922,1.0020577907562256,0.2,0.48828136920928955,0.009312712,-12.781003999710084,-0.12354731559753418,0.6564954351633787,0.106640625,0.0003,120
613,-0.6344607,14,7168,11,-0.02483280167216435,1.0029457807540894,0.2,1.031777024269104,0.012897997,-12.789741575717926,-0.004968523979187012,2.0886097118258475,0.137109375,0.0003,130
620,0.27298748,15,7680,12,-0.028896541276481003,1.0025572776794434,0.2,1.0423436164855957,0.012400725,-12.794408738613129,-0.014293670654296875,2.4853519648313522,0.132421875,0.0003,140
625,0.28629866,16,8192,13,-0.02845453288173303,1.0002223253250122,0.2,0.9360196590423584,0.010040425,-12.77974134683609,-0.008427023887634277,1.947572648525238,0.11640625,0.0003,150
630,0.049966235,17,8704,13,-0.03411243105074391,0.9991177320480347,0.2,0.6681198477745056,0.012456648,-12.762778282165527,0.022828340530395508,2.359558016061783,0.1341796875,0.0003,160
634,0.079418935,18,9216,14,-0.027012487483443693,1.001570224761963,0.2,0.36264970898628235,0.012443265,-12.770119178295136,0.013127624988555908,4.841267330944538,0.141796875,0.0003,170
635,-0.41187462,19,9728,15,-0.02492112882900983,1.0051912069320679,0.2,0.4262484312057495,0.011689285,-12.795875298976899,0.004907429218292236,0.9397501818835735,0.1509765625,0.0003,180
638,-0.33039314,20,10240,16,-0.03193752256920561,1.0081087350845337,0.2,0.00998525321483612,0.01518632,-12.828544247150422,-0.08967959880828857,0.36865917667746545,0.1775390625,0.0003,190
641,-0.7560254,21,10752,16,-0.031734876066911964,1.007340908050537,0.2,0.7773497104644775,0.012860857,-12.836198496818543,0.00391155481338501,1.712597669661045,0.1474609375,0.0003,200
645,4.330898,22,11264,17,-0.029691448668017983,1.0062203407287598,0.2,1.1994394063949585,0.011738191,-12.829554533958435,0.009775936603546143,2.2906164661049844,0.13515625,0.0003,210
647,0.29053652,23,11776,18,-0.034761899849399924,1.0063937902450562,0.2,3.6913042068481445,0.014501095,-12.82251957654953,0.02271038293838501,8.593668067455292,0.1384765625,0.0003,220
650,-0.06769265,24,12288,18,-0.01674280557781458,1.0127012729644775,0.2,0.12223179638385773,0.0100786965,-12.849532771110535,0.0050920844078063965,1.50424141921103,0.0890625,0.0003,230
652,0.69638765,25,12800,19,-0.0296727683278732,1.0113993883132935,0.2,0.12012884020805359,0.016045518,-12.878981912136078,-0.1327834129333496,0.49503175877034666,0.173828125,0.0003,240
654,0.791821,26,13312,20,-0.029784514056518673,1.0081335306167603,0.2,0.6255500316619873,0.014117616,-12.853373682498932,0.015995502471923828,1.495720338076353,0.1478515625,0.0003,250
655,0.48726678,27,13824,21,-0.027773376484401525,1.009598970413208,0.2,3.031902551651001,0.012714807,-12.845603668689728,0.006834447383880615,5.694920367002487,0.1470703125,0.0003,260
656,0.07231994,28,14336,21,-0.03322355840355158,1.0121629238128662,0.2,2.9888453483581543,0.012758102,-12.865496695041656,0.03064674139022827,4.895064061880111,0.144921875,0.0003,270
658,-0.23573327,29,14848,22,-0.024841150920838117,1.0157802104949951,0.2,9.309886932373047,0.013992349,-12.89355801343918,0.016926288604736328,12.475139614939689,0.125,0.0003,280
659,0.40031567,30,15360,23,-0.025859251664951444,1.0142775774002075,0.2,0.09654417634010315,0.013071364,-12.904825711250306,-0.0726003646850586,0.5335429638624192,0.1515625,0.0003,290
660,-0.5994374,31,15872,24,-0.026439784991089253,1.0118190050125122,0.2,-0.023526668548583984,0.0116946995,-12.885581469535827,-0.1469266414642334,0.22898303177207707,0.12578125,0.0003,300
661,-0.26388463,32,16384,24,-0.023064402991440146,1.012887954711914,0.2,0.4120623469352722,0.010958448,-12.877754998207092,0.013642609119415283,1.2118315450847148,0.104296875,0.0003,310
663,3.4178078,33,16896,25,-0.028548044606577606,1.014147400856018,0.2,0.8173037767410278,0.012624241,-12.8903058886528,0.023264288902282715,2.1533098496496677,0.1296875,0.0003,320
